DDO Code,DDO Name,Budget Code,Allotment Serial No,Allotment Date,Allotment ID,Alloted Amount,Expenditure,Surrender/Withdrwal,Deduct Amount,Balance
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,1,07-Jun-16,2934,8106120,8106120,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,2,07-Jun-16,2935,10943300,10353435,0,0,589865
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,3,07-Jun-16,2936,44000,44000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,4,07-Jun-16,2937,45000,40000,5000,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,5,07-Jun-16,2938,24000,981,0,0,23019
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,6,07-Jun-16,2939,100000,95066,0,0,4934
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,7,07-Jun-16,2940,20000,0,0,0,20000
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,8,07-Jun-16,2941,140000,59925,80000,0,75
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,9,07-Jun-16,2942,22000,22000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,10,07-Jun-16,2943,100000,15329,0,0,84671
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,11,07-Jun-16,2944,88000,88000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,12,07-Jun-16,2945,27000,27000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,13,07-Jun-16,2946,2600,2600,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,14,07-Jun-16,2947,9000,9000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,1,28-May-16,2295,1104240,1104240,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,2,28-May-16,2296,1491000,1491000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,3,28-May-16,2297,23400,23400,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,4,28-May-16,2298,1500,1500,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,5,28-May-16,2299,1600,0,0,0,1600
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,6,28-May-16,2300,1000000,999900,0,0,100
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,7,28-May-16,2301,3300,0,0,0,3300
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,8,28-May-16,2302,700000,700000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,1,27-May-16,2001,246000,244920,0,0,1080
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,2,27-May-16,2002,310000,310000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,3,27-May-16,2003,25000,24292,0,0,708
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,4,27-May-16,2004,1300,1300,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,5,27-May-16,2005,2500,0,0,0,2500
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,1,27-Jun-16,3267,60000,60000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,1,19-Apr-16,1014,63400,63400,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,2,19-Apr-16,1015,85590,85590,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,3,19-Apr-16,1016,3170,3170,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,4,19-Apr-16,1017,2000,0,0,0,2000
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,5,19-Apr-16,1018,1000,1000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,1,11-Apr-16,803,48000,48000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,2,11-Apr-16,804,60000,60000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,3,11-Apr-16,805,5000,5000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,4,11-Apr-16,806,200,200,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,5,11-Apr-16,807,500,0,0,0,500
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,1,30-May-16,2335,253200,80450,0,0,172750
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,2,30-May-16,2336,341820,90436,0,0,251384
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,3,30-May-16,2337,12660,11215,0,0,1445
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,1,01-Aug-16,3632,3000,3000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,2,01-Aug-16,3633,8000,0,0,0,8000
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,3,01-Aug-16,3634,15000,15000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,1,23-Feb-17,5908,125490,125490,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,2,23-Feb-17,5909,106678,106378,0,0,300
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,1,22-Feb-17,5869,135000,135000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,2,22-Feb-17,5870,10000,0,0,0,10000
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,3,22-Feb-17,5871,10000,10000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,4,22-Feb-17,5872,20000,0,0,0,20000
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,1,16-Dec-16,4680,100000,100000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,1,17-Mar-17,6320,35000,20504,0,0,14496
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,1,29-Nov-16,4586,70000,70000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,1,19-Jul-16,3537,340000,340000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-523-0-1-0,1,31-Jan-17,5423,13000,12828,0,0,172
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-403-0-1-0,1,16-Feb-17,5744,11000,6081,0,0,4919
BLGAGR006,Deputy Director of Agriculture Bolangir,23-3451-00-090-0034-01003-560-0-1-0,1,28-Sep-16,4113,300000,300000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-403-0-1-0,1,24-Jan-17,5279,100000,100000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-08001-154-0-1-0,2,24-Jan-17,5280,8000,8000,0,0,0
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-08001-397-0-1-0,3,24-Jan-17,5281,20000,0,0,0,20000
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-403-0-1-0,4,16-Feb-17,5745,42241,0,0,0,42241
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-403-0-1-0,3,16-Feb-17,5746,11759,0,0,0,11759
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-1159-01003-403-0-1-0,2,16-Feb-17,5747,35000,0,0,0,35000
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-0309-01003-403-0-1-0,1,21-Dec-16,4753,12300,10820,0,0,1480
BLGAGR006,Deputy Director of Agriculture Bolangir,23-2401-00-001-0309-20002-000-0-1-0,2,21-Dec-16,4754,50000,20841,0,0,29159
BLGAGR007,"Deputy Director of Horticulture,Bolangir",23-2401-00-001-0310-01003-136-0-1-0,1,26-May-16,1910,3595620,3497256,98364,0,0
BLGAGR007,"Deputy Director of Horticulture,Bolangir",23-2401-00-001-0310-01003-136-0-1-0,2,26-May-16,1911,4494526,4455059,39467,0,0
BLGAGR007,"Deputy Director of Horticulture,Bolangir",23-2401-00-001-0310-01003-136-0-1-0,3,26-May-16,1912,253143,223695,29448,0,0
BLGAGR007,"Deputy Director of Horticulture,Bolangir",23-2401-00-001-0310-01003-136-0-1-0,4,26-May-16,1913,3106,2541,565,0,0
BLGAGR007,"Deputy Director of Horticulture,Bolangir",23-2401-00-001-0310-01003-136-0-1-0,1,30-Apr-16,1324,3,3,0,0,0
BLGAGR007,"Deputy Director of Horticulture,Bolangir",23-2401-00-001-0310-01003-136-0-1-0,2,30-Apr-16,1325,102,102,0,0,0
BLGAGR007,"Deputy Director of Horticulture,Bolangir",23-2401-00-001-0310-01003-136-0-1-0,1,16-Apr-16,905,43840,43840,0,0,0
BLGAGR007,"Deputy Director of Horticulture,Bolangir",23-2401-00-001-0310-01003-136-0-1-0,2,16-Apr-16,906,52169,52169,0,0,0
